units1,units2,dropout,l2_reg,lr,batch,train_acc,val_acc,test_acc
128,128,0.2,0.01,0.0003,64,0.9678571224212646,0.8333333134651184,0.8222222328186035
256,128,0.4,0.001,0.001,16,0.9071428775787354,0.8472222089767456,0.9111111164093018
32,64,0.5,0.0001,0.001,16,0.7607142925262451,0.75,0.8888888955116272
256,16,0.4,0.0001,0.001,16,0.875,0.8055555820465088,0.8222222328186035
32,32,0.3,0.01,0.0003,64,0.7821428775787354,0.7361111044883728,0.8666666746139526
64,16,0.4,0.01,0.0001,64,0.6285714507102966,0.6805555820465088,0.8222222328186035
128,32,0.4,0.0001,0.0003,32,0.8500000238418579,0.7638888955116272,0.8666666746139526
256,16,0.2,0.001,0.001,32,0.9714285731315613,0.8194444179534912,0.8444444537162781
32,128,0.3,0.0001,0.0003,64,0.8571428656578064,0.7638888955116272,0.8666666746139526
64,32,0.2,0.0001,0.0001,32,0.7785714268684387,0.7222222089767456,0.7555555701255798
128,128,0.5,0.0001,0.0001,32,0.7857142686843872,0.7638888955116272,0.800000011920929
256,16,0.4,0.01,0.0001,16,0.8071428537368774,0.75,0.8666666746139526
256,128,0.3,0.01,0.001,16,0.9714285731315613,0.8194444179534912,0.8444444537162781
256,32,0.4,0.01,0.0003,32,0.9428571462631226,0.8611111044883728,0.8222222328186035
128,64,0.3,0.01,0.0001,16,0.8571428656578064,0.7638888955116272,0.8222222328186035
64,128,0.3,0.001,0.0001,64,0.7749999761581421,0.7777777910232544,0.8222222328186035
32,64,0.2,0.01,0.0001,32,0.7607142925262451,0.8194444179534912,0.7333333492279053
32,64,0.5,0.0001,0.0001,16,0.5392857193946838,0.5416666865348816,0.5555555820465088
64,16,0.3,0.001,0.0001,16,0.7214285731315613,0.7361111044883728,0.8888888955116272
32,64,0.2,0.001,0.0001,64,0.7285714149475098,0.6527777910232544,0.8444444537162781
256,16,0.5,0.01,0.001,16,0.8892857432365417,0.7777777910232544,0.8666666746139526
64,64,0.2,0.0001,0.0003,64,0.8607142567634583,0.75,0.8888888955116272
128,16,0.2,0.001,0.0003,64,0.875,0.7638888955116272,0.9111111164093018
256,64,0.2,0.01,0.0003,32,0.9857142567634583,0.7361111044883728,0.7555555701255798
256,128,0.5,0.0001,0.0003,32,0.8107143044471741,0.7361111044883728,0.800000011920929
256,32,0.5,0.001,0.0001,16,0.7464285492897034,0.7916666865348816,0.8444444537162781
256,128,0.4,0.001,0.001,16,0.9071428775787354,0.8055555820465088,0.9111111164093018
32,16,0.2,0.0001,0.0001,16,0.5357142686843872,0.5,0.5333333611488342
64,64,0.2,0.001,0.0003,64,0.8642857074737549,0.7777777910232544,0.8888888955116272
256,16,0.4,0.0001,0.0003,32,0.875,0.8194444179534912,0.8888888955116272
256,32,0.3,0.01,0.0001,16,0.8500000238418579,0.8055555820465088,0.8888888955116272
128,128,0.2,0.001,0.0001,32,0.824999988079071,0.6944444179534912,0.800000011920929
256,64,0.2,0.01,0.0001,32,0.9071428775787354,0.75,0.8666666746139526
128,16,0.3,0.01,0.001,16,0.9357143044471741,0.7916666865348816,0.8444444537162781
