MFCC_mean_1          ,MFCC_mean_2          ,MFCC_mean_3           ,MFCC_mean_4          ,MFCC_mean_5           ,MFCC_mean_6           ,MFCC_mean_7          ,MFCC_mean_8           ,MFCC_mean_9          ,MFCC_mean_10         ,MFCC_mean_11         ,MFCC_mean_12         ,MFCC_mean_13         ,MFCC_std_1          ,MFCC_std_2           ,MFCC_std_3            ,MFCC_std_4            ,MFCC_std_5           ,MFCC_std_6           ,MFCC_std_7           ,MFCC_std_8           ,MFCC_std_9           ,MFCC_std_10          ,MFCC_std_11           ,MFCC_std_12           ,MFCC_std_13           ,F0_mean              ,F0_std                ,label,gender
-3.695707117,0.261050644,0.172008802,0.113049614,1.0845225,1.054695155,1.610650377,1.47958994,0.739103259,0.403308089,0.46695904,0.881571066,0.798062382,2.271434325,-1.359399159,-1.709003877,-1.338768147,-0.063763106,-1.388414743,-1.239210123,-1.548378875,-1.408651624,-0.212932815,-0.064374619,-0.001823028,-1.68447155,-1.131170582,2.232672056, lie  , F     
0.362580011,-0.359269962,0.123448417,-0.403134082,-1.38049458,-1.086163647,-0.197567125,-0.099503878,-0.874349202,-1.780381969,-0.910190667,-0.259645954,-1.033153438,-0.386538616,0.394837017,1.321110835,1.349033755,0.129291937,0.12986516,0.498097516,3.136546252,0.305394885,2.287868212,0.266918579,0.188950403,-0.422349786,1.104449318,1.074480771, lie  , F     
-1.744490822,-0.016909426,-0.056919781,-0.101239516,-0.087754579,-0.227757452,0.594114964,1.006236816,0.568518916,-0.348016115,0.025348998,0.521177425,0.456275887,2.062270855,-0.458364278,0.675570518,0.314412124,1.706959298,0.794417087,0.25054755,1.369525056,-0.596604077,2.29000815,1.353722195,0.133609525,-0.953854722,0.869056518,2.161075212, lie  , F     
0.38292527,-0.133618966,1.267468387,0.283979233,-0.700060187,-0.702559722,-0.3527863,-0.926894566,-0.827603022,-1.007597459,-0.78462261,-0.343678467,-0.492717625,-0.477118961,1.134716191,1.39007085,1.919619591,0.694858278,1.182292868,1.056261183,1.949338187,0.191358137,1.906941095,0.067324389,0.666000306,0.171782046,0.767837612,0.669625455, lie  , F     
0.323738663,-0.093011047,1.485564183,0.33601826,-0.830781185,-0.838100106,-0.583810986,-1.725417573,-1.478263598,-0.908468537,-0.424876832,-0.320458407,-0.95866213,-0.461925532,0.761110909,0.725371975,1.662897077,0.758036753,0.790611871,0.993049348,2.788500845,0.551856234,0.571149972,0.12633023,0.346587123,-0.510974808,0.692016545,1.265494777, lie  , F     
0.189647887,0.117192629,1.347163738,0.162986967,-0.990372447,-1.044672142,-0.343327759,-0.899236439,-0.862269199,-0.857344708,-0.57351503,-0.724749458,-1.03069626,-0.388910785,0.668679515,1.040888277,1.946389923,0.862992038,0.631326099,-0.21082655,1.627700071,-0.164705615,1.006030633,0.178879807,1.163363983,0.175724125,0.737415145,2.278220126, lie  , F     
0.274779687,-0.130163677,0.43673032,-0.173586671,-1.010071297,-0.533838187,0.348162134,0.137838682,-0.494253442,-1.21816628,-0.82732003,-0.765456242,-0.93061651,-0.336173623,1.29248554,1.209659127,1.624508902,0.258505306,1.389746486,-0.091175721,2.337408747,-0.352603468,1.624534615,-0.946196213,0.942580864,-0.049485745,0.335813529,2.428575933, lie  , F     
0.253802602,-0.42067293,-0.448343968,-0.711764641,-1.000555208,-0.3107681,0.16879744,-0.583200937,-1.002214065,-0.837939827,-0.752544702,-0.538293008,-0.430828978,-0.430288595,0.646852196,1.820137223,1.78296717,0.716085548,2.173859522,0.581292394,0.410295431,-0.312260521,2.146461308,0.11496464,0.566548487,-0.07999365,1.010715075,-0.694284879, lie  , F     
0.076617253,-0.109664933,0.853720792,-0.078747293,-0.822348574,-0.513225821,0.076437191,-0.889591023,-1.204901773,-0.948648916,-0.536469013,-0.478285292,-0.793986709,-0.394941227,0.902003433,2.051397076,2.68463042,0.759531588,1.461741192,0.611649248,2.185491785,0.243073761,1.589275515,1.022135873,1.168508774,-0.428404219,0.738371086,1.215970816, lie  , F     
0.1862519,0.491292059,1.263888574,0.052304795,-1.068690369,-1.179407852,-0.461462866,-0.214935515,-0.615672318,-1.271628124,-0.611509154,-0.518391484,-0.977698505,-0.410376325,0.755920466,0.824200117,0.602285577,0.882671512,0.061911545,0.233117876,2.775260416,-0.017348466,1.872537962,0.293982019,-0.062600034,0.454853753,0.460274707,2.072338763, lie  , F     
0.205110112,-0.417292611,-0.60906724,-0.832031774,-1.586826368,-1.455121918,-1.565647345,-1.380818779,-0.827949696,-0.370139073,-0.375822407,-1.180446074,-0.705002277,-0.357027968,0.052266588,2.24625041,1.565398423,0.914710353,0.597061013,1.561826083,1.354558025,0.861170349,2.382135814,2.093121344,1.508499868,1.35056877,1.802663235,1.490431504, lie  , F     
0.389820807,-0.528412264,-1.206058974,-0.966226901,-1.596757623,-1.435198384,-1.500754837,-1.174908718,-0.630308554,-0.580601381,-0.726793565,-1.540614167,-1.334102819,-0.396613538,0.484894425,2.159689489,1.737308011,0.404557477,0.768262851,0.271511468,0.384275401,0.234890311,3.17137369,1.496643609,0.668143482,0.137487488,1.901169018,1.389752626, lie  , F     
